,Entropy
0,10.44880281727221
1,10.475543311860774
2,10.515522895147587
3,10.491197589877194
4,10.518628376626125
5,10.529860151111544
6,10.442205160257094
7,10.442205160257094
8,10.724634836079002
9,10.631890952314224
10,10.512225554015204
11,10.53165630848788
12,10.377784634992066
13,10.505819117905139
14,10.472180639380177
15,10.724732316198647
16,10.501170381734168
17,10.508183828568946
18,10.43577207049095
19,10.541249888362493
20,10.696998831955465
21,10.509434412590341
22,10.490292354077733
23,10.510007924532166
24,10.591770168248813
25,10.643190004039699
26,10.564764530404712
27,10.485464751752568
28,10.574627732101135
29,10.55452845691748
30,10.482586349492262
31,10.514450002795256
32,10.501486718088337
33,10.536140470096164
34,10.393090673407555
35,10.395514945872414
36,10.23644624012807
37,10.209853279580443
38,9.945825261188252
39,9.308453538311563
