,MessageID,MessageType,MessageTimeLeft,MessageDelay,MessageRoute
0,99_1,Real,0.022086200658581315,"[0.022086200658581315, 0.26379248981235226, 0.5461026982095865, 1.0465434407822907, 0]","[Client id: 99, ( id: 10, corrupt: False ), ( id: 11, corrupt: False ), ( id: 12, corrupt: False ), ( id: 16, corrupt: False ), ( id: 17, corrupt: False ), ( id: 18, corrupt: False ), ( id: 16, corrupt: False ), ( id: 17, corrupt: False ), ( id: 18, corrupt: False ), Client id: 69]"
1,3_1,Real,0.02443229526946216,"[0.02443229526946216, 0.5070189449148104, 0.9172397777230821, 0.4163754487738713, 0]","[Client id: 3, ( id: 1, corrupt: False ), ( id: 2, corrupt: False ), ( id: 3, corrupt: False ), ( id: 1, corrupt: False ), ( id: 2, corrupt: False ), ( id: 3, corrupt: False ), ( id: 1, corrupt: False ), ( id: 2, corrupt: False ), ( id: 3, corrupt: False ), Client id: 18]"
2,90_1,Real,0.026970538871375255,"[0.026970538871375255, 0.6703089159783087, 0.6703045118230847, 0.9319691469716116, 0]","[Client id: 90, ( id: 10, corrupt: False ), ( id: 11, corrupt: False ), ( id: 12, corrupt: False ), ( id: 10, corrupt: False ), ( id: 11, corrupt: False ), ( id: 12, corrupt: False ), ( id: 1, corrupt: False ), ( id: 2, corrupt: False ), ( id: 3, corrupt: False ), Client id: 51]"
3,53_1,Real,0.029003693295616185,"[0.029003693295616185, 0.47515051062876845, 0.15830045544334898, 2.01822904023809, 0]","[Client id: 53, ( id: 13, corrupt: False ), ( id: 14, corrupt: False ), ( id: 15, corrupt: False ), ( id: 1, corrupt: False ), ( id: 2, corrupt: False ), ( id: 3, corrupt: False ), ( id: 13, corrupt: False ), ( id: 14, corrupt: False ), ( id: 15, corrupt: False ), Client id: 15]"
4,77_1,Real,0.03317230088035393,"[0.03317230088035393, 3.332283395366371, 0.7516203311015238, 0.0907432386921676, 0]","[Client id: 77, ( id: 4, corrupt: False ), ( id: 5, corrupt: False ), ( id: 6, corrupt: False ), ( id: 4, corrupt: False ), ( id: 5, corrupt: False ), ( id: 6, corrupt: False ), ( id: 4, corrupt: False ), ( id: 5, corrupt: False ), ( id: 6, corrupt: False ), Client id: 73]"
5,30_1,Real,0.052562191559143656,"[0.052562191559143656, 1.2870436746390452, 1.0261122583371478, 2.5593367842124675, 0]","[Client id: 30, ( id: 7, corrupt: False ), ( id: 8, corrupt: False ), ( id: 9, corrupt: False ), ( id: 7, corrupt: False ), ( id: 8, corrupt: False ), ( id: 9, corrupt: False ), ( id: 16, corrupt: False ), ( id: 17, corrupt: False ), ( id: 18, corrupt: False ), Client id: 24]"
6,83_1,Real,0.058869281133330065,"[0.058869281133330065, 0.6782303416043826, 0.18023736825265682, 0.0945127892819402, 0]","[Client id: 83, ( id: 7, corrupt: False ), ( id: 8, corrupt: False ), ( id: 9, corrupt: False ), ( id: 7, corrupt: False ), ( id: 8, corrupt: False ), ( id: 9, corrupt: False ), ( id: 13, corrupt: False ), ( id: 14, corrupt: False ), ( id: 15, corrupt: False ), Client id: 42]"
7,91_1,Real,0.08489428526236882,"[0.08489428526236882, 0.42050876895769357, 1.162532643862578, 0.8488540649270564, 0]","[Client id: 91, ( id: 4, corrupt: False ), ( id: 5, corrupt: False ), ( id: 6, corrupt: False ), ( id: 7, corrupt: False ), ( id: 8, corrupt: False ), ( id: 9, corrupt: False ), ( id: 1, corrupt: False ), ( id: 2, corrupt: False ), ( id: 3, corrupt: False ), Client id: 55]"
8,43_1,Real,0.10278437878285675,"[0.10278437878285675, 0.9482336108178565, 2.363694767386721, 2.3155874616438834, 0]","[Client id: 43, ( id: 7, corrupt: False ), ( id: 8, corrupt: False ), ( id: 9, corrupt: False ), ( id: 7, corrupt: False ), ( id: 8, corrupt: False ), ( id: 9, corrupt: False ), ( id: 7, corrupt: False ), ( id: 8, corrupt: False ), ( id: 9, corrupt: False ), Client id: 63]"
9,3_2,Real,0.10355206843088385,"[0.07911977316142169, 4.667105674373474, 0.4963792369603924, 1.2939641335201657, 0]","[Client id: 3, ( id: 4, corrupt: False ), ( id: 5, corrupt: False ), ( id: 6, corrupt: False ), ( id: 4, corrupt: False ), ( id: 5, corrupt: False ), ( id: 6, corrupt: False ), ( id: 1, corrupt: False ), ( id: 2, corrupt: False ), ( id: 3, corrupt: False ), Client id: 76]"
